batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
Aarif Sheikh,1240,1470.5204645116441,1909,1249.9423948348974,-0.9942394834897413
HWR Cartwright,2,14.062963702401209,23,11.953519147041028,-0.9953519147041028
B Kumar,552,661.1797096400766,768,562.0027531940651,-1.0002753194065122
IS Sodhi,210,258.83054489982385,306,220.00596316485027,-1.0005963164850271
C McAuslan,35,52.955008889887665,74,45.01175755640451,-1.001175755640451
DM Braat,6,18.846771258466404,31,16.019755569696443,-1.0019755569696442
DI Allan,18,32.97511392700783,48,28.028846837956657,-1.0028846837956658
A Wellington,6,18.866061599091882,17,16.0361523592281,-1.00361523592281
R Klein,38,56.51667393106856,81,48.03917284140827,-1.0039172841408273
Priya Mishra,6,18.925638637567783,31,16.086792841932613,-1.0086792841932612
Junaid Khan,68,91.91644664396499,134,78.12897964737024,-1.0128979647370244
M Prasidh Krishna,2,14.290373839692709,18,12.146817763738802,-1.0146817763738802
C Wickramasinghe,58,80.19865499404723,106,68.16885674494014,-1.0168856744940142
TR Ambrose,10,23.762234035227223,34,20.19789892994314,-1.0197898929943139
Tushar Imran,250,306.1924789859726,477,260.26360713807674,-1.0263607138076736
S Bhari,22,38.050969223960024,52,32.34332384036602,-1.0343323840366019
Aamir Kaleem,160,200.4226064825248,271,170.35921551014607,-1.0359215510146071
PS Athavale,103,133.4153754782957,176,113.40306915655133,-1.0403069156551326
Basir Ahamad,14,28.718035912806734,38,24.410330525885723,-1.0410330525885723
Khadija Tul Kubra,24,40.528279267698224,69,34.44903737754349,-1.044903737754349
L Rajadurai,20,35.85927511878806,53,30.48038385096985,-1.048038385096985
Saad Ali,11,25.312580907601447,23,21.51569377146123,-1.051569377146123
DT Hondo,35,53.55810827179328,113,45.524392031024284,-1.0524392031024283
NA Rock,7,20.751838741666816,25,17.63906293041679,-1.0639062930416792
JI de Villiers,28,45.4715200037345,65,38.650792003174324,-1.0650792003174323
CBRLS Kumara,58,80.80317897718145,137,68.68270213060423,-1.0682702130604227
Arshad Ali,47,67.89409858693607,90,57.70998379889566,-1.0709983798895657
I Toua,41,60.890584968805584,100,51.756997223484746,-1.0756997223484746
A Dalzell,35,53.91194205863527,71,45.82515074983998,-1.0825150749839978
NS Poonia,12,26.93225349047644,42,22.892415466904975,-1.0892415466904974
KO Meth,49,70.52630468348805,93,59.94735898096484,-1.0947358980964843
Batool Fatima,64,88.19311777537928,105,74.96415010907238,-1.0964150109072377
R Malhotra,118,151.73844251912047,185,128.9776761412524,-1.0977676141252402
JM Cox,22,38.80031073743785,57,32.98026412682217,-1.098026412682217
Ehsanul Haque,28,45.8875261817754,76,39.00439725450909,-1.1004397254509086
EN Lynch,115,148.29241127725064,229,126.04854958566304,-1.104854958566304
K Sonavale,5,18.89827064837559,29,16.06353005111925,-1.106353005111925
Ehsan Nawaz,29,47.19108510373581,83,40.112422338175435,-1.1112422338175434
Khurram Chohan,77,103.75404089075028,144,88.19093475713773,-1.1190934757137725
RS Gayakwad,15,30.84808955891638,48,26.220876125078924,-1.1220876125078925
TJ Heggelman,23,40.27413774703848,71,34.233017084982706,-1.1233017084982706
RA Reifer,51,73.22938899370257,103,62.244980644647185,-1.1244980644647184
KD Shah,112,145.13985817049888,192,123.36887944492405,-1.1368879444924047
Waqas Barkat,25,42.82895712396533,54,36.40461355537053,-1.140461355537053
TG Gordon,23,40.54620421783487,58,34.46427358515964,-1.146427358515964
E Malinga,10,25.267387612013785,45,21.477279470211716,-1.1477279470211716
Maham Tariq,3,17.130291980938516,38,14.560748183797738,-1.1560748183797738
M Pathirana,10,25.377745757315086,33,21.571083893717823,-1.1571083893717824
A Nehra,90,119.5739971373131,174,101.63789756671613,-1.1637897566716133
AB Barath,394,477.2351134970932,629,405.6498464725292,-1.164984647252919
N Sibanda,89,118.42208085426584,210,100.65876872612597,-1.165876872612597
T Lungameni,46,68.03381503550335,108,57.82874278017785,-1.1828742780177848
MS Panesar,26,44.56798619859344,92,37.88278826880442,-1.1882788268804418
JO Troughton,36,56.33724224180724,77,47.88665590553615,-1.1886655905536152
Wasim Ali,54,77.52930657744939,95,65.89991059083198,-1.189991059083198
B Shikongo,18,35.22287149235794,59,29.939440768504248,-1.1939440768504248
Nestor Dhamba,23,41.118030073500776,52,34.95032556247566,-1.195032556247566
Rubel Hossain,112,145.8416514525706,226,123.96540373468501,-1.1965403734685012
IM Vaghela,45,67.02940432006396,91,56.97499367205437,-1.1974993672054368
E Otieno,21,38.829327194517084,57,33.004928115339524,-1.2004928115339524
TCB Fernando,18,35.35199983764854,39,30.04919986200126,-1.2049199862001259
