batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
DR Martyn,2239,2185.4432764847893,2970,1857.6267850120707,38.13732149879293
E Chigumbura,3266,3396.634521038483,4235,2887.1393428827105,37.88606571172895
BM Duckett,1138,907.9583536223697,1092,771.7646005790142,36.62353994209858
E Lewis,1947,1861.4768689818302,2273,1582.2553386345555,36.47446613654445
AN Cook,3204,3343.4032669711637,4238,2841.892776925489,36.21072230745108
Yousuf Youhana,1740,1623.6113045369511,2208,1380.0696088564084,35.993039114359156
Mohammad Yousuf,2783,2854.347238409352,3741,2426.1951526479493,35.68048473520507
DR Smith,1261,1066.4180616200258,1430,906.4553523770219,35.45446476229781
HE van der Dussen,2529,2560.6842580756283,2965,2176.581619364284,35.24183806357159
JDP Oram,1546,1405.9793946497616,1762,1195.0824854522973,35.09175145477027
SM Pollock,1358,1187.393013149516,1469,1009.2840611770886,34.871593882291144
CJ Anderson,1102,888.5797589879088,1044,755.2927951397224,34.670720486027754
Inzamam-ul-Haq,1916,1853.787870037603,2482,1575.7196895319626,34.02803104680375
JDS Neesham,1508,1380.9781922420186,1538,1173.8314634057158,33.41685365942842
MD Patel,2036,2004.4786133655036,2552,1703.806821360678,33.219317863932204
M Labuschagne,1855,1792.9690612981276,2238,1524.0237021034084,33.097629789659166
Waseem Muhammad,1567,1456.5515054575417,1819,1238.0687796389104,32.893122036108956
DJ Malan,1418,1281.2717473641405,1504,1089.0809852595194,32.89190147404806
Mohammad Rizwan,2546,2610.4047370642547,2987,2218.8440265046165,32.71559734953835
Sharjeel Khan,787,541.4216465726037,692,460.2083995867131,32.67916004132869
J Charles,1544,1437.2216147476695,1840,1221.638372535519,32.2361627464481
DJ Hussey,1672,1588.144657589036,1912,1349.9229589506804,32.20770410493196
H Masakadza,3955,4275.110294195829,5646,3633.8437500664545,32.11562499335455
SE Marsh,2622,2709.4897106503495,3318,2303.066254052797,31.893374594720306
SA Edwards,1873,1828.7796836117616,2120,1554.4627310699973,31.85372689300027
KJ Coetzer,2280,2312.4883636200293,2826,1965.615109077025,31.438489092297505
LS Livingstone,912,710.7992125909017,867,604.1793307022664,30.78206692977336
RS Bopara,2689,2803.112440012134,3520,2382.645574010314,30.63544259896862
MP Stoinis,1489,1406.3621451824338,1622,1195.4078234050687,29.35921765949313
Sarfraz Ahmed,2289,2347.8571356702796,2673,1995.6785653197376,29.332143468026242
D Ramdin,2072,2093.1095774882183,2636,1779.1431408649855,29.285685913501446
M van Lingen,1300,1189.3029192669353,1442,1010.907481376895,28.909251862310498
HC Brook,856,670.751375089294,857,570.1386688258999,28.586133117410007
CR Ervine,2909,3086.9645727230663,3763,2623.9198868146063,28.508011318539367
SP Fleming,2133,2176.6346244931874,3036,1850.1394308192093,28.286056918079066
RR Pant,871,692.2212030834789,846,588.388022620957,28.261197737904297
Ishan Kishan,886,712.0585023372817,890,605.2497269866894,28.075027301331055
RR Rossouw,1239,1127.984092981553,1341,958.78647903432,28.021352096568002
CD McMillan,1129,998.6536720568546,1393,848.8556212483264,28.014437875167356
P Nissanka,1820,1815.0427377190842,2177,1542.7863270612215,27.721367293877847
MD Gunathilaka,1592,1547.227131984401,1899,1315.1430621867407,27.685693781325927
YK Pathan,810,630.4529169570927,736,535.8849794135288,27.411502058647123
T Bavuma,1706,1690.9513185229366,1970,1437.308620744496,26.869137925550397
WA Young,1620,1594.0650739342684,1912,1354.955312844128,26.5044687155872
Imam-ul-Haq,2854,3046.484004760145,3543,2589.5114040461235,26.44885959538765
IJL Trott,2819,3009.9702427589996,3732,2558.4747063451496,26.052529365485043
Mahmudullah,5131,5730.291841196088,6811,4870.748065016674,26.025193498332555
MD Shanaka,1153,1051.5011888444278,1317,893.7760105177637,25.922398948223634
CL Cairns,790,624.8558599684502,894,531.1274809731826,25.887251902681736
MS Wade,1792,1806.5076548161308,2226,1535.5315065937111,25.646849340628886
OA Shah,1579,1558.7569513711371,1963,1324.9434086654664,25.405659133453355
PWH de Silva,866,722.5528102430466,850,614.1698887065895,25.183011129341047
NL McCullum,1070,963.5355932207495,1247,819.0052542376371,25.099474576236286
IK Pathan,1226,1148.516507388912,1548,976.2390312805752,24.97609687194248
WIA Fernando,1405,1360.396508543899,1657,1156.337032262314,24.86629677376859
Sabbir Rahman,1259,1188.9352876563541,1395,1010.594994507901,24.8405005492099
CR Woakes,1514,1491.9455144424269,1714,1268.1536872760628,24.58463127239372
Mashrafe Mortaza,1304,1244.8998168639337,1609,1058.1648443343436,24.583515566565644
GD Phillips,1041,938.6525085548495,1037,797.8546322716221,24.31453677283779
MG Bracewell,757,605.2663469657143,682,514.4763949208572,24.252360507914283
RA Jadeja,2781,2989.196457734298,3350,2540.8169890741533,24.01830109258467
GD Elliott,1913,1969.4161381091415,2394,1674.00371739277,23.899628260722988
KD Mills,871,744.3383803554244,988,632.6876233021108,23.831237669788926
MG Erasmus,2006,2079.6792283490863,2651,1767.7273440967233,23.82726559032767
